Vuosi,Kk,Pv,Klo,Aikavyöhyke,Pilvien määrä (1/8),Ilmanpaine (msl) (hPa),Suhteellinen kosteus (%),Sateen intensiteetti (mm/h),Lumensyvyys (cm),Ilman lämpötila (degC),Kastepistelämpötila (degC),Näkyvyys (m),Tuulen suunta (deg),Puuskanopeus (m/s),Tuulen nopeus (m/s)
2017,1,1,00:00,UTC,0,998.5,90,0,0,3.9,2.4,,287,5.6,3.5
2017,1,1,01:00,UTC,0,998.4,89,0,0,3.6,1.9,,286,4.6,3.1
2017,1,1,02:00,UTC,0,998.1,87,0,0,3.3,1.4,,276,3.7,2.5
2017,1,1,03:00,UTC,5,997.8,89,0,0,2.8,1.1,,277,4.8,2.8
2017,1,1,04:00,UTC,5,997.6,86,0,0,2.8,0.7,,290,4.3,2.8
2017,1,1,05:00,UTC,1,997.6,87,0,0,2.4,0.4,,279,4.1,2.5
2017,1,1,06:00,UTC,7,997.7,87,0,0,2.1,0.2,,291,4.2,2.4
2017,1,1,07:00,UTC,7,997.2,89,0,0,1.9,0.3,,270,4.4,2.9
2017,1,1,08:00,UTC,7,997.2,88,0,0,1.8,0.1,,292,4.6,2.8
2017,1,1,09:00,UTC,7,997.3,89,0,0,1.7,0.1,,280,3.7,2
2017,1,1,10:00,UTC,7,997.3,90,0,0,1.3,-0.2,,310,4.7,2.6
2017,1,1,11:00,UTC,7,997.2,89,0,0,1.3,-0.3,,321,4,2.2
2017,1,1,12:00,UTC,7,997.2,88,0,0,1,-0.7,,334,3.7,2.2
2017,1,1,13:00,UTC,1,997.2,91,0,0,0,-1.2,,334,1.9,1.4
2017,1,1,14:00,UTC,1,997.3,94,0,0,-0.9,-1.7,,297,2.2,1.6
2017,1,1,15:00,UTC,7,997.5,94,0,0,0,-0.8,,322,4.1,2.3
2017,1,1,16:00,UTC,3,997.8,93,0,0,-1.1,-2,,338,4,2.9
2017,1,1,17:00,UTC,7,998.2,92,0,0,-0.1,-1.2,,3,6.3,3.9
2017,1,1,18:00,UTC,7,998.6,88,0,0,0,-1.7,,6,6.2,3.8
2017,1,1,19:00,UTC,8,999.5,80,0,0,-0.3,-3.3,,2,8.2,4.3
2017,1,1,20:00,UTC,8,1000,81,0,0,-1,-3.9,,360,8.6,4.3
2017,1,1,21:00,UTC,1,1000.5,79,0,0,-1.5,-4.7,,5,5.2,3.4
