Vuosi,Kk,Pv,Klo,Aikavyöhyke,Pilvien määrä (1/8),Ilmanpaine (msl) (hPa),Suhteellinen kosteus (%),Sateen intensiteetti (mm/h),Lumensyvyys (cm),Ilman lämpötila (degC),Kastepistelämpötila (degC),Näkyvyys (m),Tuulen suunta (deg),Puuskanopeus (m/s),Tuulen nopeus (m/s)
2017,1,1,00:00,UTC,8,990.1,89,0,23,-0.1,-1.8,44162,,,
2017,1,1,01:00,UTC,8,990.3,87,0,23,0.1,-1.7,39506,,,
2017,1,1,02:00,UTC,8,990.5,89,0,23,0.4,-1.2,13630,,,
2017,1,1,03:00,UTC,8,990.8,90,0.5,23,0.3,-1.2,7154,,,
2017,1,1,04:00,UTC,8,991.1,87,0,23,0.5,-1.5,20893,,,
2017,1,1,05:00,UTC,8,991.6,87,0,23,0.5,-1.3,19110,,,
2017,1,1,06:00,UTC,8,992.4,88,0,23,0.4,-1.4,46039,,,
2017,1,1,07:00,UTC,8,993,88,0,23,0.3,-1.6,50000,,,
2017,1,1,08:00,UTC,8,993.9,84,0,23,0.1,-2.3,50000,,,
2017,1,1,09:00,UTC,8,994.5,83,0,23,-0.2,-2.7,50000,,,
2017,1,1,10:00,UTC,8,994.8,86,0,23,-0.5,-2.6,16577,,,
2017,1,1,11:00,UTC,8,995.3,82,0,23,-0.8,-3.4,38089,,,
2017,1,1,12:00,UTC,8,995.7,79,0,23,-1,-4.2,50000,,,
2017,1,1,13:00,UTC,7,996.1,77,0,23,-1.2,-4.7,50000,,,
2017,1,1,14:00,UTC,8,996.4,82,0,23,-1.4,-4.2,50000,,,
2017,1,1,15:00,UTC,8,996.8,86,0,23,-1.7,-3.6,16337,,,
2017,1,1,16:00,UTC,8,997.2,89,1.3,23,-1.8,-3.4,835,,,
2017,1,1,17:00,UTC,8,997.3,89,0.3,23,-1.8,-3.4,1524,,,
2017,1,1,18:00,UTC,8,997.8,86,0,23,-2.4,-4.4,9257,,,
2017,1,1,19:00,UTC,8,998.7,80,0,23,-3,-6,20821,,,
2017,1,1,20:00,UTC,7,999.2,77,0,23,-3.6,-7,44086,,,
2017,1,1,21:00,UTC,4,999.8,84,0,23,-5.2,-7.6,46453,,,
2017,1,1,22:00,UTC,8,1000.3,82,0,23,-5.2,-7.8,39123,,,
2017,1,1,23:00,UTC,8,1000.8,80,0,23,-4.8,-7.6,24639,,,
2017,1,2,00:00,UTC,8,1001.1,75,0,23,-4.7,-8.5,40401,,,
2017,1,2,01:00,UTC,8,1001.4,74,0,22,-4.9,-8.8,50000,,,
2017,1,2,02:00,UTC,8,1001.6,73,0,23,-4.9,-9.1,46056,,,
2017,1,2,03:00,UTC,8,1001.8,70,0,23,-4.9,-9.6,46382,,,
2017,1,2,04:00,UTC,8,1002.4,67,0,23,-5,-10.2,33460,,,
2017,1,2,05:00,UTC,8,1002.7,67,0,23,-5.3,-10.5,23650,,,
2017,1,2,06:00,UTC,8,1003,64,0,23,-5.5,-11.1,27112,,,
2017,1,2,07:00,UTC,8,1003.3,68,0,23,-5.7,-10.7,22064,,,
2017,1,2,08:00,UTC,8,1003.8,65,0,23,-5.7,-11.2,33375,,,
2017,1,2,09:00,UTC,8,1003.8,65,0,23,-5.9,-11.4,34731,,,
2017,1,2,10:00,UTC,8,1003.8,64,0,23,-6.1,-11.8,41751,,,
2017,1,2,11:00,UTC,8,1004,64,0,23,-6.2,-11.9,41170,,,
2017,1,2,12:00,UTC,5,1004.5,70,0,23,-7.5,-12,30567,,,
2017,1,2,13:00,UTC,1,1004.8,76,0,23,-8.8,-12.2,40326,,,
2017,1,2,14:00,UTC,0,1004.9,79,0,23,-10.6,-13.5,26190,,,
2017,1,2,15:00,UTC,0,1005.2,78,0,23,-11,-14,30160,,,
2017,1,2,16:00,UTC,4,1005.3,76,0,23,-11.3,-14.8,16432,,,
2017,1,2,17:00,UTC,7,1005.2,77,0,23,-11.8,-14.9,19354,,,
2017,1,2,18:00,UTC,6,1005.6,79,0,23,-12.7,-15.5,17531,,,
2017,1,2,19:00,UTC,6,1005.7,76,0,23,-12.4,-15.8,21343,,,
2017,1,2,20:00,UTC,7,1006,74,0,23,-12.4,-16.2,28682,,,
2017,1,2,21:00,UTC,8,1006,74,0,23,-12.5,-16.1,37132,,,
2017,1,2,22:00,UTC,7,1006,74,0,23,-12.8,-16.6,35637,,,
2017,1,2,23:00,UTC,1,1006.4,74,0,24,-13,-16.7,32554,,,
2017,1,3,00:00,UTC,1,1006.4,76,0,23,-13,-16.4,33713,,,
2017,1,3,01:00,UTC,5,1006.2,74,0,23,-12.9,-16.6,36998,,,
2017,1,3,02:00,UTC,8,1005.8,72,0,23,-13,-17,6906,,,
2017,1,3,03:00,UTC,8,1005.6,73,0,23,-13.1,-17,30087,,,
2017,1,3,04:00,UTC,3,1005.5,74,0,23,-13.3,-17,30663,,,
2017,1,3,05:00,UTC,7,1005.8,77,0,23,-13.6,-16.9,23178,,,
2017,1,3,06:00,UTC,7,1006.1,75,0,23,-13.7,-17.3,24385,,,
2017,1,3,07:00,UTC,8,1006.1,76,0,24,-13.7,-17.1,26109,,,
2017,1,3,08:00,UTC,8,1006.3,75,0,24,-13.7,-17.1,37707,,,
2017,1,3,09:00,UTC,8,1006.1,74,0,23,-13.3,-16.9,34804,,,
2017,1,3,10:00,UTC,8,1006,72,0,24,-13.3,-17.2,36875,,,
2017,1,3,11:00,UTC,8,1005.8,72,0,24,-13.1,-17.1,12057,,,
2017,1,3,12:00,UTC,8,1005.7,72,0,23,-13.2,-17.1,5616,,,
2017,1,3,13:00,UTC,8,1005.5,73,0,23,-13.7,-17.5,7183,,,
2017,1,3,14:00,UTC,8,1005.6,74,0,23,-14,-17.6,5892,,,
2017,1,3,15:00,UTC,8,1005.5,75,0,23,-14.2,-17.6,4503,,,
2017,1,3,16:00,UTC,8,1005.4,77,0,24,-14.5,-17.6,14207,,,
2017,1,3,17:00,UTC,5,1005.2,78,0,24,-15,-17.9,17099,,,
2017,1,3,18:00,UTC,4,1005.3,78,0,24,-15.1,-18,44391,,,
2017,1,3,19:00,UTC,8,1005.5,77,0,24,-15,-18.1,50000,,,
2017,1,3,20:00,UTC,8,1005.6,76,0,24,-14.5,-17.9,13346,,,
2017,1,3,21:00,UTC,8,1005.8,76,0,24,-14.5,-17.8,23957,,,
2017,1,3,22:00,UTC,8,1005.7,75,0,24,-14.2,-17.7,38906,,,
2017,1,3,23:00,UTC,8,1005.9,74,0,24,-14.3,-18,47540,,,
2017,1,4,00:00,UTC,8,1006.3,71,0,24,-14.8,-18.8,50000,,,
2017,1,4,01:00,UTC,0,1006.8,76,0,23,-16.9,-20.2,50000,,,
2017,1,4,02:00,UTC,0,1007.3,77,0,23,-18.3,-21.3,50000,,,
2017,1,4,03:00,UTC,0,1008.1,77,0,23,-19.4,-22.4,50000,,,
2017,1,4,04:00,UTC,4,1008.6,77,0,23,-19.8,-22.8,50000,,,
2017,1,4,05:00,UTC,0,1009,76,0,23,-20.4,-23.6,50000,,,
2017,1,4,06:00,UTC,0,1009.4,76,0,23,-21.2,-24.3,50000,,,
2017,1,4,07:00,UTC,0,1009.9,78,0,23,-21.9,-24.8,50000,,,
2017,1,4,08:00,UTC,0,1010.4,76,0,23,-21.5,-24.6,46925,,,
2017,1,4,09:00,UTC,0,1010.8,75,0,23,-20.7,-24,50000,,,
2017,1,4,10:00,UTC,1,1011.2,76,0,23,-20.2,-23.4,50000,,,
2017,1,4,11:00,UTC,7,1011.4,74,0,23,-18.5,-22,47812,,,
2017,1,4,12:00,UTC,7,1011.8,73,0,23,-17.9,-21.6,33367,,,
2017,1,4,13:00,UTC,0,1012.5,76,0,23,-19.3,-22.4,50000,,,
2017,1,4,14:00,UTC,7,1013.2,77,0,23,-19.1,-22.1,50000,,,
2017,1,4,15:00,UTC,4,1013.7,75,0,23,-18.7,-22,12967,,,
2017,1,4,16:00,UTC,6,1014.3,77,0,23,-18.9,-21.9,50000,,,
2017,1,4,17:00,UTC,0,1015,77,0,23,-19.4,-22.4,50000,,,
2017,1,4,18:00,UTC,0,1015.5,77,0,23,-19.8,-22.7,50000,,,
2017,1,4,19:00,UTC,0,1016,77,0,23,-19.9,-22.9,50000,,,
2017,1,4,20:00,UTC,0,1017,77,0,23,-19.6,-22.6,50000,,,
2017,1,4,21:00,UTC,1,1017.7,78,0,23,-19.3,-22.2,26324,,,
2017,1,4,22:00,UTC,3,1018.2,76,0,23,-18.9,-22,17984,,,
2017,1,4,23:00,UTC,1,1019.1,76,0,23,-19.1,-22.3,34253,,,
2017,1,5,00:00,UTC,1,1019.3,77,0,23,-18.8,-21.8,34402,,,
2017,1,5,01:00,UTC,4,1019.9,76,0,22,-19,-22.2,43998,,,
2017,1,5,02:00,UTC,0,1020.6,78,0,23,-19.3,-22.2,50000,,,
2017,1,5,03:00,UTC,0,1021.4,78,0,23,-18.6,-21.5,50000,,,
2017,1,5,04:00,UTC,0,1022.3,76,0,23,-19,-22.1,50000,,,
2017,1,5,05:00,UTC,0,1022.8,77,0,23,-19.1,-22.2,50000,,,
2017,1,5,06:00,UTC,1,1024.1,76,0,23,-18.8,-21.9,50000,,,
2017,1,5,07:00,UTC,0,1025.3,77,0,23,-19.4,-22.4,44858,,,
2017,1,5,08:00,UTC,0,1026.1,78,0,23,-19.7,-22.5,50000,,,
2017,1,5,09:00,UTC,0,1027.1,77,0,23,-19.2,-22.2,50000,,,
2017,1,5,10:00,UTC,0,1027.7,75,0,23,-18.7,-22,50000,,,
2017,1,5,11:00,UTC,0,1028.4,76,0,23,-19.5,-22.7,50000,,,
2017,1,5,12:00,UTC,0,1029,76,0,23,-20,-23.1,50000,,,
2017,1,5,13:00,UTC,0,1029.8,77,0,23,-20.7,-23.8,50000,,,
2017,1,5,14:00,UTC,0,1030.3,76,0,23,-21,-24,50000,,,
2017,1,5,15:00,UTC,0,1031,76,0,23,-21.2,-24.3,50000,,,
2017,1,5,16:00,UTC,1,1031.8,76,0,23,-21.6,-24.7,50000,,,
2017,1,5,17:00,UTC,5,1032.1,76,0,23,-21.3,-24.5,34327,,,
2017,1,5,18:00,UTC,8,1032.9,75,0,23,-21,-24.2,43752,,,
2017,1,5,19:00,UTC,8,1033.3,75,0,23,-20.9,-24.1,50000,,,
2017,1,5,20:00,UTC,3,1034.2,76,0,23,-22.1,-25.2,50000,,,
2017,1,5,21:00,UTC,1,1034.6,76,0,23,-22.7,-25.8,50000,,,
2017,1,5,22:00,UTC,5,1034.6,75,0,23,-22.5,-25.7,50000,,,
2017,1,5,23:00,UTC,3,1035.4,76,0,23,-23.4,-26.5,50000,,,
2017,1,6,00:00,UTC,8,1035.7,76,0,23,-22.8,-25.9,50000,,,
2017,1,6,01:00,UTC,8,1036.4,75,0,23,-22.1,-25.3,50000,,,
2017,1,6,02:00,UTC,8,1036.7,76,0,23,-21.9,-25,50000,,,
2017,1,6,03:00,UTC,8,1037,76,0,23,-22.2,-25.3,50000,,,
2017,1,6,04:00,UTC,5,1037.2,76,0,23,-23.6,-26.7,50000,,,
2017,1,6,05:00,UTC,3,1037.3,76,0,23,-24.2,-27.3,50000,,,
2017,1,6,06:00,UTC,0,1037.8,76,0,23,-24.5,-27.4,50000,,,
2017,1,6,07:00,UTC,0,1038.5,75,0,23,-25.3,-28.4,12653,,,
2017,1,6,08:00,UTC,0,1038.7,76,0,23,-25.2,-28.2,50000,,,
2017,1,6,09:00,UTC,0,1038.8,75,0,23,-25,-28.1,50000,,,
2017,1,6,10:00,UTC,0,1039,76,0,23,-24.3,-27.3,50000,,,
2017,1,6,11:00,UTC,0,1038.5,77,0,23,-23.4,-26.4,50000,,,
2017,1,6,12:00,UTC,0,1038,77,0,23,-23.1,-26.1,24252,,,
2017,1,6,13:00,UTC,0,1037.9,77,0,23,-23.2,-26.1,26287,,,
2017,1,6,14:00,UTC,0,1037.5,76,0,23,-23.9,-26.9,17111,,,
2017,1,6,15:00,UTC,0,1037.3,76,0,23,-24.1,-27.2,17779,,,
2017,1,6,16:00,UTC,0,1036.8,77,0,23,-23.7,-26.6,18203,,,
2017,1,6,17:00,UTC,0,1036.2,77,0,23,-23.4,-26.3,18936,,,
2017,1,6,18:00,UTC,0,1035.4,78,0,23,-22.3,-25.1,440,,,
2017,1,6,19:00,UTC,2,1035,78,0,23,-21.2,-24,739,,,
2017,1,6,20:00,UTC,0,1034.1,78,0,23,-19.5,-22.4,50000,,,
2017,1,6,21:00,UTC,0,1033.1,78,0,23,-20.1,-23,16286,,,
2017,1,6,22:00,UTC,0,1032.2,78,0,23,-20.4,-23.2,41074,,,
2017,1,6,23:00,UTC,0,1031.1,76,0,23,-20.3,-23.4,50000,,,
2017,1,7,00:00,UTC,0,1029.7,77,0,23,-19.5,-22.5,50000,,,
2017,1,7,01:00,UTC,1,1028.9,77,0,23,-19.4,-22.5,50000,,,
2017,1,7,02:00,UTC,7,1027.5,78,0,23,-18.5,-21.4,8595,,,
2017,1,7,03:00,UTC,8,1025.8,79,0,23,-16.3,-19.2,2208,,,
2017,1,7,04:00,UTC,8,1024.6,79,0,23,-14.9,-17.7,1556,,,
2017,1,7,05:00,UTC,7,1023.1,79,0,23,-12.9,-15.8,3439,,,
2017,1,7,06:00,UTC,7,1022.3,77,0,22,-12.9,-16,2776,,,
2017,1,7,07:00,UTC,8,1021.8,77,0,23,-13,-16.2,4682,,,
2017,1,7,08:00,UTC,8,1020.9,77,0.5,25,-12.4,-15.6,646,,,
2017,1,7,09:00,UTC,8,1020.1,76,0,26,-12.2,-15.6,3228,,,
2017,1,7,10:00,UTC,8,1019.1,76,0,27,-11.6,-15,2271,,,
2017,1,7,11:00,UTC,8,1018.2,77,0.7,27,-11.3,-14.6,1052,,,
2017,1,7,12:00,UTC,8,1017.7,76,0.4,27,-11,-14.4,527,,,
2017,1,7,13:00,UTC,8,1017.2,76,0,28,-10.9,-14.4,1358,,,
2017,1,7,14:00,UTC,8,1017.1,76,0,30,-10.8,-14.1,1011,,,
2017,1,7,15:00,UTC,8,1016.9,76,0,30,-10.3,-13.8,8243,,,
