Vuosi,Kk,Pv,Klo,Aikavyöhyke,Pilvien määrä (1/8),Ilmanpaine (msl) (hPa),Suhteellinen kosteus (%),Sateen intensiteetti (mm/h),Lumensyvyys (cm),Ilman lämpötila (degC),Kastepistelämpötila (degC),Näkyvyys (m),Tuulen suunta (deg),Puuskanopeus (m/s),Tuulen nopeus (m/s)
2017,1,1,00:00,UTC,7,992.7,72,0,9,2.2,-2.4,50000,275,8.7,4.9
2017,1,1,01:00,UTC,8,993.4,75,0,9,1.9,-2.2,50000,279,6.5,4.1
2017,1,1,02:00,UTC,8,994,76,0,9,1.7,-2,48640,281,7,4.1
2017,1,1,03:00,UTC,7,994,77,0,9,1.3,-2.2,49580,294,7.1,4.8
2017,1,1,04:00,UTC,5,994.3,81,0,9,0.7,-2.1,30180,291,6.3,4.4
2017,1,1,05:00,UTC,1,994.6,86,0,9,-0.4,-2.5,50000,292,6.2,4.5
2017,1,1,06:00,UTC,0,995.3,90,0,9,-2.5,-3.9,50000,221,2.1,0.8
2017,1,1,07:00,UTC,7,995.7,95,0,9,-2.2,-2.9,50000,299,4.4,2.2
2017,1,1,08:00,UTC,8,996.2,90,0,9,-1.9,-3.3,50000,324,7,5.1
2017,1,1,09:00,UTC,8,996.8,90,0,9,-2.2,-3.6,6990,326,6.4,4.9
2017,1,1,10:00,UTC,8,997.2,87,0,9,-2.2,-4,17130,354,3.7,2.2
2017,1,1,11:00,UTC,8,997.3,86,0,9,-2.4,-4.5,50000,310,3.6,2.7
2017,1,1,12:00,UTC,7,997.7,85,0,9,-2.9,-5.1,50000,309,6.4,4.8
2017,1,1,13:00,UTC,5,998.2,89,0,9,-4.1,-5.7,50000,307,4.8,3.8
2017,1,1,14:00,UTC,7,998.7,90,0,9,-4.9,-6.3,50000,310,5,3.7
2017,1,1,15:00,UTC,7,999.2,91,0,9,-4.7,-5.9,50000,312,3.5,2.6
2017,1,1,16:00,UTC,8,999.5,91,0,9,-4.1,-5.3,50000,306,7.7,4.8
2017,1,1,17:00,UTC,8,999.8,90,0,9,-3.6,-5,50000,322,6.4,4.5
2017,1,1,18:00,UTC,8,1000,90,0,9,-3.5,-4.9,49690,323,6,4.6
