Vuosi,Kk,Pv,Klo,Aikavyöhyke,Pilvien määrä (1/8),Ilmanpaine (msl) (hPa),Suhteellinen kosteus (%),Sateen intensiteetti (mm/h),Lumensyvyys (cm),Ilman lämpötila (degC),Kastepistelämpötila (degC),Näkyvyys (m),Tuulen suunta (deg),Puuskanopeus (m/s),Tuulen nopeus (m/s)
2017,1,1,00:00,UTC,1,997.2,71,0,0,3.7,-1.2,50000,290,7.8,4.8
2017,1,1,01:00,UTC,7,997,69,0,0,3.6,-1.5,50000,289,7.4,4.3
2017,1,1,02:00,UTC,4,996.7,75,0,0,2.7,-1.2,50000,295,6.5,3.9
2017,1,1,03:00,UTC,0,996.6,78,0,0,2.3,-1.1,50000,292,5.1,3.4
2017,1,1,04:00,UTC,0,996.7,79,0,0,1.9,-1.3,49734,295,4.6,2.8
2017,1,1,05:00,UTC,0,996.6,88,0,0,-0.4,-2.2,50000,258,2.1,1.5
2017,1,1,06:00,UTC,1,996.7,94,0,0,-1,-1.9,50000,269,2.3,1.6
2017,1,1,07:00,UTC,3,996.3,95,0,0,-1.6,-2.4,42720,245,1.9,1.3
2017,1,1,08:00,UTC,7,996.7,96,0,0,-1.8,-2.3,37969,257,2.5,1.9
2017,1,1,09:00,UTC,8,997.2,96,0.5,0,0,-0.6,10539,283,1.5,1
2017,1,1,10:00,UTC,8,997.4,97,0.9,0,0.3,-0.2,2702,306,2,1.2
2017,1,1,11:00,UTC,8,997.7,97,0.9,0,0.2,-0.2,2210,310,2.2,1.4
2017,1,1,12:00,UTC,8,998.1,97,0,0,0.3,-0.1,18424,343,2.6,1.8
2017,1,1,13:00,UTC,8,998.7,94,0,0,0.4,-0.5,42191,25,4.1,1.9
2017,1,1,14:00,UTC,8,999.5,90,0,0,-0.2,-1.7,43731,17,5.8,3.2
2017,1,1,15:00,UTC,7,1000.5,88,0,0,-1.4,-3.1,46579,54,4.9,2.3
2017,1,1,16:00,UTC,4,1001,90,0,0,-2.2,-3.6,48845,35,2.3,1
2017,1,1,17:00,UTC,7,1001.6,91,0,0,-2.7,-4,45168,4,4.4,2
2017,1,1,18:00,UTC,0,1002.4,92,0,0,-3.6,-4.8,37303,334,3,1.8
2017,1,1,19:00,UTC,0,1002.7,95,0,0,-4.7,-5.4,22609,316,2.4,1.6
2017,1,1,20:00,UTC,3,1002.8,95,0,0,-5.1,-5.8,17913,293,2,1.4
2017,1,1,21:00,UTC,0,1002.7,94,0,0,-6,-6.8,28733,169,1.3,0.8
2017,1,1,22:00,UTC,5,1002.9,94,0,0,-6.4,-7.2,28447,210,1,0.7
2017,1,1,23:00,UTC,6,1002.7,94,0,0,-6.1,-7,28503,0,0,0
2017,1,2,00:00,UTC,7,1002.4,93,0,0,-6,-6.9,44451,133,0.9,0.5
2017,1,2,01:00,UTC,7,1002.3,93,0,0,-5.7,-6.6,49393,128,1.9,1.2
2017,1,2,02:00,UTC,8,1002.1,93,0,0,-5.1,-6.1,28255,124,1.8,1
2017,1,2,03:00,UTC,8,1002.2,93,0,0,-4.8,-5.7,31793,127,0.9,0.7
2017,1,2,04:00,UTC,8,1001.9,93,0,0,-4.9,-5.8,24540,0,0,0
2017,1,2,05:00,UTC,6,1001.6,94,0,0,-5.3,-6.1,21625,0,0,0
2017,1,2,06:00,UTC,7,1001.5,94,0,0,-5.7,-6.6,21629,294,1.1,0.8
2017,1,2,07:00,UTC,7,1001.6,94,0,0,-6.1,-7,19195,252,2,1.4
2017,1,2,08:00,UTC,8,1001.8,93,0,0,-4.6,-5.6,20603,10,2.9,1.6
2017,1,2,09:00,UTC,8,1001.9,94,0,0,-4,-4.9,27083,60,3,1.2
2017,1,2,10:00,UTC,8,1001.9,92,0,0,-3.6,-4.7,32033,33,2.9,1.2
2017,1,2,11:00,UTC,7,1002,91,0,0,-3.8,-5,41096,22,2.2,0.9
2017,1,2,12:00,UTC,8,1002.1,92,0,0,-4.1,-5.2,35205,341,2.4,1.7
2017,1,2,13:00,UTC,7,1002.3,93,0,0,-4.2,-5.2,20480,330,2.6,1.7
2017,1,2,14:00,UTC,7,1002.4,94,0,0,-4.6,-5.5,19261,338,2.5,1.7
2017,1,2,15:00,UTC,7,1002.6,94,0,0,-4.4,-5.3,22441,327,2.8,1.9
2017,1,2,16:00,UTC,7,1002.7,92,0,0,-4.1,-5.2,41054,16,2.7,1.5
2017,1,2,17:00,UTC,7,1003,93,0,0,-4.4,-5.5,19074,245,1,0.7
2017,1,2,18:00,UTC,8,1003,93,0,0,-4.4,-5.4,6855,349,2.7,1.9
2017,1,2,19:00,UTC,8,1003.1,92,0,0,-4.1,-5.1,5295,106,1.5,1
2017,1,2,20:00,UTC,7,1003,92,0,0,-4.5,-5.7,15789,119,2.1,1.1
2017,1,2,21:00,UTC,3,1003.3,93,0,0,-5.8,-6.8,27117,139,1.6,1.2
2017,1,2,22:00,UTC,8,1003.4,93,0,0,-5,-6,29395,142,2.8,2.3
2017,1,2,23:00,UTC,8,1003.2,93,0,0,-5,-5.9,6433,132,1.7,1.2
2017,1,3,00:00,UTC,8,1002.9,93,0,0,-4.9,-5.9,17425,130,2.1,1.3
2017,1,3,01:00,UTC,7,1002.8,93,0,0,-5.9,-6.8,23779,168,2.2,1.6
2017,1,3,02:00,UTC,7,1002.4,93,0,0,-5.3,-6.3,21618,125,2.1,1.4
2017,1,3,03:00,UTC,8,1002.1,93,0,0,-5.5,-6.4,19142,154,1.4,1.1
2017,1,3,04:00,UTC,8,1002,93,0,0,-5.5,-6.4,17486,149,2,1.5
2017,1,3,05:00,UTC,7,1001.7,93,0,0,-5.6,-6.6,18489,144,1.5,1.2
2017,1,3,06:00,UTC,3,1001.6,93,0,0,-6.7,-7.7,16366,258,1.3,0.9
2017,1,3,07:00,UTC,0,1001.4,92,0,0,-8.2,-9.3,22493,0,0,0
2017,1,3,08:00,UTC,1,1001.2,92,0,0,-8.9,-10,22472,131,1.1,0.6
2017,1,3,09:00,UTC,9,1001.1,94,0,0,-8.8,-9.6,229,141,2.1,1.7
2017,1,3,10:00,UTC,9,1000.5,94,0,0,-7.4,-8.3,780,147,3.8,2.9
2017,1,3,11:00,UTC,8,999.7,93,0,0,-7.1,-8.1,10002,128,3.1,2
2017,1,3,12:00,UTC,7,999.2,92,0,0,-7.5,-8.5,11034,142,3.7,2.9
2017,1,3,13:00,UTC,7,998.7,92,0,0,-7.1,-8.1,13266,122,4,2.8
2017,1,3,14:00,UTC,8,998.2,93,0,0,-6.7,-7.7,12202,130,3.8,2.4
2017,1,3,15:00,UTC,8,997.7,93,0,0,-6.3,-7.3,13596,124,4.4,2.9
2017,1,3,16:00,UTC,7,997.1,92,0,0,-6.7,-7.7,14292,129,6.6,3.7
2017,1,3,17:00,UTC,6,996.6,92,0,0,-7.3,-8.4,40404,120,6.3,3.7
2017,1,3,18:00,UTC,7,996,91,0,0,-7.5,-8.7,32754,125,6.5,4.4
2017,1,3,19:00,UTC,8,995.7,91,0,0,-7.2,-8.4,46088,122,6.7,3.7
2017,1,3,20:00,UTC,8,995.5,88,0,0,-7.1,-8.7,50000,113,9.8,4.9
2017,1,3,21:00,UTC,8,995.5,86,0,0,-7.3,-9.2,49350,110,10.5,6
2017,1,3,22:00,UTC,8,995.7,86,0,0,-7.1,-9,50000,113,8.6,4.3
2017,1,3,23:00,UTC,8,995.6,86,0,0,-6.7,-8.6,49255,96,7.1,3.2
2017,1,4,00:00,UTC,8,995.8,85,0,0,-6.6,-8.6,46806,92,7,3.7
2017,1,4,01:00,UTC,8,996.3,83,0,0,-6.2,-8.6,23064,103,7,3.8
2017,1,4,02:00,UTC,8,997.3,80,0,0,-6.5,-9.4,7013,106,8.9,4.1
2017,1,4,03:00,UTC,8,998.3,80,0,0,-7.2,-10.1,12363,100,7.2,4
2017,1,4,04:00,UTC,7,999.5,78,0,0,-8.2,-11.3,14822,96,8.4,4.5
2017,1,4,05:00,UTC,7,1000.8,78,0,0,-9.3,-12.3,24942,92,8.2,3.9
2017,1,4,06:00,UTC,7,1001.9,75,0,0,-9.9,-13.5,16911,94,8.9,4.2
2017,1,4,07:00,UTC,8,1003.1,74,0,0,-10.2,-14.1,31108,90,7.6,4
2017,1,4,08:00,UTC,2,1004.8,77,0,0,-11.6,-14.8,45491,84,6.8,3
2017,1,4,09:00,UTC,2,1006.1,76,0,0,-12.1,-15.5,50000,80,6.7,3.3
2017,1,4,10:00,UTC,0,1007.3,72,0,0,-12.3,-16.4,50000,73,5.9,3
2017,1,4,11:00,UTC,1,1008.5,68,0,0,-12.6,-17.2,50000,74,7.2,2.9
2017,1,4,12:00,UTC,1,1009.6,70,0,0,-13,-17.3,50000,57,6.5,3.1
2017,1,4,13:00,UTC,0,1010.8,72,0,2,-14.1,-18,50000,53,9.3,3.5
2017,1,4,14:00,UTC,0,1012.4,73,0,2,-15.2,-18.9,49067,43,9.9,3.4
2017,1,4,15:00,UTC,0,1013.9,71,0,2,-16,-20,46847,50,7.4,3.7
2017,1,4,16:00,UTC,0,1015.7,69,0,2,-16.3,-20.6,45396,52,7.1,3.2
2017,1,4,17:00,UTC,0,1017,72,0,2,-16.5,-20.3,46323,48,4.9,2.4
2017,1,4,18:00,UTC,0,1017.9,74,0,2,-16.9,-20.4,49913,21,5.9,2.7
2017,1,4,19:00,UTC,0,1018.9,75,0,2,-16.9,-20.3,49497,13,5.3,2.9
2017,1,4,20:00,UTC,0,1020.2,76,0,2,-17,-20.3,50000,7,5.5,3.1
2017,1,4,21:00,UTC,0,1021.3,74,0,2,-17.3,-20.7,44007,7,4.9,3
2017,1,4,22:00,UTC,0,1022,75,0,2,-16.9,-20.3,50000,4,4.5,2.5
2017,1,4,23:00,UTC,0,1022.6,73,0,2,-16.6,-20.3,49619,14,5.8,3.2
2017,1,5,00:00,UTC,0,1023.7,75,0,2,-17.4,-20.8,50000,20,5.8,2.7
2017,1,5,01:00,UTC,0,1024.6,75,0,2,-17.6,-21,30646,6,4.8,2.6
2017,1,5,02:00,UTC,0,1025.6,76,0,2,-17.7,-20.9,46862,352,4.1,2.5
2017,1,5,03:00,UTC,0,1026.5,75,0,2,-17.1,-20.5,50000,358,5.8,3.2
2017,1,5,04:00,UTC,0,1026.9,76,0,2,-17.1,-20.4,50000,2,5.4,2.6
2017,1,5,05:00,UTC,0,1027.9,74,0,2,-16.9,-20.5,44380,9,6.1,2.8
2017,1,5,06:00,UTC,0,1028.9,75,0,2,-16.8,-20.3,46462,350,4.3,2.4
2017,1,5,07:00,UTC,0,1029.7,72,0,2,-16.7,-20.6,50000,9,3.2,1.5
2017,1,5,08:00,UTC,0,1030.5,73,0,2,-16.6,-20.4,49361,4,2.9,1.4
2017,1,5,09:00,UTC,0,1031.3,65,0,2,-15.3,-20.4,43556,29,2.7,1.1
2017,1,5,10:00,UTC,0,1032,65,0,2,-14.8,-20,50000,360,4.4,2.2
2017,1,5,11:00,UTC,0,1032.4,61,0,2,-14.1,-19.9,50000,20,4.4,2.4
2017,1,5,12:00,UTC,0,1033.1,64,0,2,-14,-19.4,50000,9,3.5,1.8
2017,1,5,13:00,UTC,0,1033.7,68,0,2,-14.3,-18.9,50000,347,2.5,1.6
2017,1,5,14:00,UTC,0,1034.3,73,0,0,-14.7,-18.5,50000,330,3.2,2.2
2017,1,5,15:00,UTC,0,1034.8,75,0,2,-15.4,-18.9,50000,322,2.4,1.5
2017,1,5,16:00,UTC,0,1035.1,77,0,0,-15.4,-18.5,40810,331,2.3,1.6
2017,1,5,17:00,UTC,0,1035.3,80,0,0,-15.8,-18.4,33579,346,3.3,1.4
