Vuosi,Kk,Pv,Klo,Aikavyöhyke,Pilvien määrä (1/8),Ilmanpaine (msl) (hPa),Suhteellinen kosteus (%),Sateen intensiteetti (mm/h),Lumensyvyys (cm),Ilman lämpötila (degC),Kastepistelämpötila (degC),Näkyvyys (m),Tuulen suunta (deg),Puuskanopeus (m/s),Tuulen nopeus (m/s)
2017,1,1,00:00,UTC,,999.2,94,,,3.5,2.5,,256,5.4,4.4
2017,1,1,01:00,UTC,,998.9,94,,,3,2.1,,269,4.2,3.2
2017,1,1,02:00,UTC,,998.4,93,,,3,2,,267,4.1,2.8
2017,1,1,03:00,UTC,,998.5,90,,,2.6,1,,242,3.3,2.1
2017,1,1,04:00,UTC,,998.2,93,,,1.9,0.9,,212,3.1,2.7
2017,1,1,05:00,UTC,,998,93,,,2,1,,250,2.7,1.9
2017,1,1,06:00,UTC,,997.8,97,,,1.3,0.8,,178,2.2,1.7
2017,1,1,07:00,UTC,,997.7,97,,,0.8,0.4,,189,2.2,1.9
2017,1,1,08:00,UTC,,997.6,97,,,0.9,0.5,,216,3.9,3.5
2017,1,1,09:00,UTC,,998,93,,,1.2,0.2,,303,3.5,2.5
2017,1,1,10:00,UTC,,997.7,94,,,0.9,0,,288,2.4,1.7
2017,1,1,11:00,UTC,,997.8,90,,,1.6,0.1,,305,4.3,3.2
2017,1,1,12:00,UTC,,997.8,90,,,1.6,0.2,,297,3.6,3.2
2017,1,1,13:00,UTC,,998.3,90,,,1.5,0,,293,2.2,1.8
2017,1,1,14:00,UTC,,998.5,92,,,1.3,0.1,,283,3.3,2.7
2017,1,1,15:00,UTC,,998.8,91,,,1.4,0.1,,290,5.5,3.9
2017,1,1,16:00,UTC,,999.2,94,,,1.1,0.2,,342,7.8,6.1
2017,1,1,17:00,UTC,,999.8,93,,,0.6,-0.5,,7,8.7,7.3
2017,1,1,18:00,UTC,,1000.2,90,,,0.3,-1.2,,3,7.1,5.5
2017,1,1,19:00,UTC,,1001.2,85,,,-0.1,-2.3,,7,6.8,5.3
2017,1,1,20:00,UTC,,1001.8,88,,,-1.3,-3,,2,7.1,5.6
2017,1,1,21:00,UTC,,1002.3,89,,,-2,-3.5,,345,6.6,5.2
2017,1,1,22:00,UTC,,1002.7,91,,,-2.1,-3.4,,349,7,5.3
2017,1,1,23:00,UTC,,1002.5,89,,,-2.8,-4.3,,7,4.8,3.8
2017,1,2,00:00,UTC,,1002.4,92,,,-2.8,-3.9,,353,6.5,5.1
2017,1,2,01:00,UTC,,1002.5,90,,,-3.2,-4.5,,32,3.4,2.5
2017,1,2,02:00,UTC,,1002.6,92,,,-3.2,-4.3,,10,3.8,2.8
2017,1,2,03:00,UTC,,1002.4,90,,,-3.3,-4.6,,31,2.6,1.8
2017,1,2,04:00,UTC,,1002.3,91,,,-3.2,-4.5,,106,1.1,0.6
2017,1,2,05:00,UTC,,1001.9,91,,,-2.8,-4.1,,231,1,0.6
2017,1,2,06:00,UTC,,1001.4,90,,,-3.1,-4.4,,133,1.9,1.5
2017,1,2,07:00,UTC,,1001.6,94,,,-3.3,-4.2,,122,2.3,1.7
2017,1,2,08:00,UTC,,1001.7,93,,,-3.2,-4.2,,135,2.6,2.1
2017,1,2,09:00,UTC,,1001.7,94,,,-3.3,-4.2,,101,3.4,2.5
2017,1,2,10:00,UTC,,1001.6,93,,,-2.9,-3.9,,131,1.7,1.3
2017,1,2,11:00,UTC,,1001.5,91,,,-2.4,-3.7,,0,1.1,0
2017,1,2,12:00,UTC,,1001.5,92,,,-2.6,-3.7,,125,2.2,1.5
2017,1,2,13:00,UTC,,1001.8,91,,,-2.5,-3.8,,69,2.2,1.7
2017,1,2,14:00,UTC,,1001.7,92,,,-2.6,-3.8,,108,1.9,1.2
