Vuosi,Kk,Pv,Klo,Aikavyöhyke,Pilvien määrä (1/8),Ilmanpaine (msl) (hPa),Suhteellinen kosteus (%),Sateen intensiteetti (mm/h),Lumensyvyys (cm),Ilman lämpötila (degC),Kastepistelämpötila (degC),Näkyvyys (m),Tuulen suunta (deg),Puuskanopeus (m/s),Tuulen nopeus (m/s)
2017,1,1,00:00,UTC,,,68,,,2.5,-2.9,,,,
2017,1,1,01:00,UTC,,,72,,,1.6,-3,,,,
2017,1,1,02:00,UTC,,,76,,,1.1,-2.7,,,,
2017,1,1,03:00,UTC,,,78,,,0.9,-2.5,,,,
2017,1,1,04:00,UTC,,,81,,,0.2,-2.6,,,,
2017,1,1,05:00,UTC,,,81,,,0.3,-2.5,,,,
2017,1,1,06:00,UTC,,,83,,,-0.1,-2.7,,,,
2017,1,1,07:00,UTC,,,82,,,0.2,-2.6,,,,
2017,1,1,08:00,UTC,,,84,,,-0.4,-2.8,,,,
2017,1,1,09:00,UTC,,,84,,,-0.2,-2.5,,,,
2017,1,1,10:00,UTC,,,89,,,-0.5,-2.1,,,,
2017,1,1,11:00,UTC,,,91,,,-0.3,-1.6,,,,
2017,1,1,12:00,UTC,,,89,,,-0.1,-1.6,,,,
2017,1,1,13:00,UTC,,,86,,,-1.1,-3.1,,,,
2017,1,1,14:00,UTC,,,83,,,-2,-4.4,,,,
2017,1,1,15:00,UTC,,,84,,,-2.6,-4.9,,,,
2017,1,1,16:00,UTC,,,86,,,-3.3,-5.3,,,,
2017,1,1,17:00,UTC,,,87,,,-3.5,-5.4,,,,
2017,1,1,18:00,UTC,,,86,,,-3.3,-5.2,,,,
2017,1,1,19:00,UTC,,,84,,,-3,-5.3,,,,
2017,1,1,20:00,UTC,,,83,,,-2.8,-5.3,,,,
2017,1,1,21:00,UTC,,,84,,,-3.5,-5.8,,,,
2017,1,1,22:00,UTC,,,86,,,-4.1,-6,,,,
2017,1,1,23:00,UTC,,,87,,,-4.1,-5.9,,,,
2017,1,2,00:00,UTC,,,86,,,-4.2,-6.1,,,,
2017,1,2,01:00,UTC,,,87,,,-4.3,-6.1,,,,
2017,1,2,02:00,UTC,,,88,,,-3.8,-5.5,,,,
2017,1,2,03:00,UTC,,,87,,,-3.8,-5.6,,,,
2017,1,2,04:00,UTC,,,87,,,-3.6,-5.4,,,,
2017,1,2,05:00,UTC,,,84,,,-3.6,-5.9,,,,
2017,1,2,06:00,UTC,,,84,,,-3.3,-5.6,,,,
2017,1,2,07:00,UTC,,,83,,,-3.3,-5.8,,,,
2017,1,2,08:00,UTC,,,85,,,-3.5,-5.6,,,,
2017,1,2,09:00,UTC,,,86,,,-3.4,-5.3,,,,
2017,1,2,10:00,UTC,,,87,,,-3.5,-5.4,,,,
2017,1,2,11:00,UTC,,,87,,,-3.5,-5.3,,,,
2017,1,2,12:00,UTC,,,88,,,-3.6,-5.2,,,,
2017,1,2,13:00,UTC,,,87,,,-3.4,-5.3,,,,
2017,1,2,14:00,UTC,,,85,,,-4.2,-6.3,,,,
2017,1,2,15:00,UTC,,,86,,,-4.7,-6.7,,,,
2017,1,2,16:00,UTC,,,86,,,-5,-7.1,,,,
2017,1,2,17:00,UTC,,,85,,,-5.3,-7.4,,,,
2017,1,2,18:00,UTC,,,86,,,-5.5,-7.5,,,,
2017,1,2,19:00,UTC,,,86,,,-5.7,-7.7,,,,
2017,1,2,20:00,UTC,,,85,,,-5.9,-8,,,,
2017,1,2,21:00,UTC,,,86,,,-6.1,-8.2,,,,
2017,1,2,22:00,UTC,,,86,,,-6.2,-8.1,,,,
2017,1,2,23:00,UTC,,,86,,,-6.2,-8.1,,,,
2017,1,3,00:00,UTC,,,86,,,-6.5,-8.4,,,,
2017,1,3,01:00,UTC,,,85,,,-6.7,-8.8,,,,
2017,1,3,02:00,UTC,,,85,,,-6.9,-9,,,,
2017,1,3,03:00,UTC,,,85,,,-7.3,-9.4,,,,
2017,1,3,04:00,UTC,,,85,,,-7.3,-9.4,,,,
2017,1,3,05:00,UTC,,,83,,,-7.3,-9.7,,,,
2017,1,3,06:00,UTC,,,83,,,-7.1,-9.5,,,,
2017,1,3,07:00,UTC,,,83,,,-7.2,-9.6,,,,
2017,1,3,08:00,UTC,,,84,,,-7.5,-9.8,,,,
2017,1,3,09:00,UTC,,,84,,,-7.7,-9.9,,,,
2017,1,3,10:00,UTC,,,85,,,-7.5,-9.6,,,,
2017,1,3,11:00,UTC,,,85,,,-7.5,-9.6,,,,
2017,1,3,12:00,UTC,,,86,,,-7.3,-9.2,,,,
2017,1,3,13:00,UTC,,,86,,,-7.5,-9.4,,,,
2017,1,3,14:00,UTC,,,86,,,-7.8,-9.7,,,,
2017,1,3,15:00,UTC,,,86,,,-7.8,-9.7,,,,
2017,1,3,16:00,UTC,,,86,,,-8,-10,,,,
2017,1,3,17:00,UTC,,,85,,,-7.9,-10,,,,
2017,1,3,18:00,UTC,,,85,,,-7.9,-10,,,,
2017,1,3,19:00,UTC,,,84,,,-8,-10.1,,,,
2017,1,3,20:00,UTC,,,83,,,-7.9,-10.2,,,,
