Vuosi,Kk,Pv,Klo,Aikavyöhyke,Pilvien määrä (1/8),Ilmanpaine (msl) (hPa),Suhteellinen kosteus (%),Sateen intensiteetti (mm/h),Lumensyvyys (cm),Ilman lämpötila (degC),Kastepistelämpötila (degC),Näkyvyys (m),Tuulen suunta (deg),Puuskanopeus (m/s),Tuulen nopeus (m/s)
2017,1,1,00:00,UTC,7,994.6,75,0,0,2.6,-1.4,50000,287,6.6,4.5
2017,1,1,01:00,UTC,7,994.8,79,0,0,1.9,-1.4,50000,305,3.6,2.6
2017,1,1,02:00,UTC,7,995.1,82,0,0,1.4,-1.3,50000,340,2.9,2.3
2017,1,1,03:00,UTC,8,995.4,88,0,0,0.2,-1.5,50000,4,5.1,3.2
2017,1,1,04:00,UTC,7,996,94,0,0,-1.6,-2.5,50000,20,2,1.5
2017,1,1,05:00,UTC,7,996.2,95,0,0,-0.9,-1.6,50000,8,3.8,2.4
2017,1,1,06:00,UTC,8,996.7,90,0,0,-0.3,-1.7,50000,19,4.1,2.7
2017,1,1,07:00,UTC,4,997.3,89,0,0,-1.2,-2.7,50000,20,5.7,3.6
2017,1,1,08:00,UTC,7,998,92,0,0,-2.2,-3.3,50000,29,2.8,2.1
2017,1,1,09:00,UTC,1,998.7,96,0,0,-2.9,-3.5,50000,360,3,2.1
2017,1,1,10:00,UTC,7,999.2,95,0,0,-2.1,-2.8,50000,18,1.9,1.2
2017,1,1,11:00,UTC,7,999.2,92,0,0,-1.7,-2.8,50000,336,1.9,1.2
2017,1,1,12:00,UTC,1,999.7,93,0,0,-2,-2.9,50000,294,3,1.8
2017,1,1,13:00,UTC,0,1000.3,94,0,0,-2.4,-3.2,50000,298,2.8,1.7
2017,1,1,14:00,UTC,5,1000.9,98,0,0,-2.4,-2.6,50000,284,4,2.6
2017,1,1,15:00,UTC,7,1001.2,98,0,0,-2.3,-2.5,50000,296,3.5,2.3
2017,1,1,16:00,UTC,2,1001.3,95,0,0,-2.3,-3,50000,286,4.8,3.3
2017,1,1,17:00,UTC,0,1001.5,93,0,0,-2.6,-3.5,50000,300,4.6,3.2
2017,1,1,18:00,UTC,0,1001.7,95,0,0,-3.4,-4.1,50000,312,4.7,3.4
2017,1,1,19:00,UTC,0,1001.8,95,0,0,-3.9,-4.6,50000,327,3.9,2.9
2017,1,1,20:00,UTC,5,1002.2,96,0,0,-5.5,-6,50000,333,2.7,1.6
2017,1,1,21:00,UTC,7,1002.3,97,0,0,-5.5,-5.9,50000,273,2.7,1.7
2017,1,1,22:00,UTC,7,1002.4,97,0,0,-6,-6.4,50000,284,3.1,2.3
2017,1,1,23:00,UTC,7,1002.1,96,0,0,-4.8,-5.3,50000,339,2.5,1.9
2017,1,2,00:00,UTC,7,1002,97,0,0,-4.2,-4.6,50000,285,2.5,1.9
2017,1,2,01:00,UTC,7,1002.1,95,0,0,-3.2,-4,15961,299,2.5,1.8
2017,1,2,02:00,UTC,8,1002,95,0,0,-2.8,-3.5,20458,288,3,2
2017,1,2,03:00,UTC,8,1002.1,98,0.4,0,-2.4,-2.6,3686,329,3.6,2.7
2017,1,2,04:00,UTC,8,1002.1,98,0,0,-2.2,-2.5,15931,344,4.5,3.1
2017,1,2,05:00,UTC,8,1002.1,97,0.5,0,-2.2,-2.6,2054,339,4.4,2.6
2017,1,2,06:00,UTC,8,1002,96,0.4,0,-2.4,-3,3890,355,6.3,3.5
2017,1,2,07:00,UTC,7,1002.1,96,0,0,-2.5,-3,7516,345,6.5,3.4
2017,1,2,08:00,UTC,7,1002.3,97,0.7,0,-2.5,-3,2472,345,4.4,2.9
2017,1,2,09:00,UTC,7,1002.4,96,0,0,-2.5,-3,17668,335,4.1,2.5
2017,1,2,10:00,UTC,8,1002.4,94,0,0,-2.3,-3,4836,317,4.9,3
2017,1,2,11:00,UTC,7,1002.3,96,0.4,0,-2.6,-3.1,4457,311,5.1,3.2
2017,1,2,12:00,UTC,7,1002.3,96,0,0,-2.5,-3.2,38013,348,4.6,2.4
2017,1,2,13:00,UTC,8,1002.5,92,0,0,-2.4,-3.5,30697,353,6.6,4.1
2017,1,2,14:00,UTC,8,1002.6,92,0,0,-2.8,-3.9,50000,356,5.4,3
2017,1,2,15:00,UTC,8,1002.9,92,0,0,-3,-4.1,50000,11,5.1,3.1
2017,1,2,16:00,UTC,8,1003,95,0,0,-3.1,-3.8,21116,13,5,2.8
2017,1,2,17:00,UTC,8,1003.5,94,0,2,-3.6,-4.5,21855,12,5.7,3.6
2017,1,2,18:00,UTC,7,1003.6,92,0,2,-4.3,-5.4,28873,60,4.2,2.6
2017,1,2,19:00,UTC,8,1003.8,92,0,0,-4.9,-6.1,4274,41,4.5,2.5
